,time,time(not stupid format),gasprice
1,1990.134615,2/18/1990,126.6
2,1990.153846,2/25/1990,127.2
3,1990.173077,3/4/1990,132.1
4,1990.192308,3/11/1990,133.3
5,1990.211538,3/18/1990,133.9
6,1990.230769,3/25/1990,134.5
7,1990.25,4/1/1990,133.9
8,1990.269231,4/8/1990,133.4
9,1990.288462,4/15/1990,132.8
10,1990.307692,4/22/1990,132.3
11,1990.326923,4/29/1990,131.1
12,1990.346154,5/6/1990,134.1
13,1990.365385,5/13/1990,119.2
14,1990.384615,5/20/1990,116.8
15,1990.403846,5/27/1990,113.9
16,1990.423077,6/3/1990,110.6
17,1990.442308,6/10/1990,107.8
18,1990.461538,6/17/1990,105.4
19,1990.480769,6/24/1990,102.5
20,1990.5,7/1/1990,104.5
21,1990.519231,7/8/1990,104.3
22,1990.538462,7/15/1990,104.7
23,1990.557692,7/22/1990,105.2
24,1990.576923,7/29/1990,106.6
25,1990.596154,8/5/1990,106.9
26,1990.615385,8/12/1990,109
27,1990.634615,8/19/1990,110.4
28,1990.653846,8/26/1990,111.3
29,1990.673077,9/2/1990,112.1
30,1990.692308,9/9/1990,112.9
31,1990.711538,9/16/1990,114
32,1990.730769,9/23/1990,113.8
33,1990.75,9/30/1990,113.5
34,1990.769231,10/7/1990,112.6
35,1990.788462,10/14/1990,111.4
36,1990.807692,10/21/1990,110.4
37,1990.826923,10/28/1990,109.8
38,1990.846154,11/4/1990,109.4
39,1990.865385,11/11/1990,109.1
40,1990.884615,11/18/1990,109.1
41,1990.903846,11/25/1990,109.9
42,1990.923077,12/2/1990,111.2
43,1990.942308,12/9/1990,112.4
44,1990.961538,12/16/1990,112.4
45,1990.980769,12/23/1990,112.7
46,1991,12/31/1990,112
47,1991.019231,1/7/1991,111
48,1991.038462,1/14/1991,109.7
49,1991.057692,1/21/1991,109.2
50,1991.076923,1/28/1991,108.9
51,1991.096154,2/4/1991,108.4
52,1991.115385,2/11/1991,108.8
53,1991.134615,2/18/1991,109.1
54,1991.153846,2/25/1991,109.1
55,1991.173077,3/4/1991,110.2
56,1991.192308,3/11/1991,110.4
57,1991.211538,3/18/1991,109.9
58,1991.230769,3/25/1991,109.9
59,1991.25,4/1/1991,109.1
60,1991.269231,4/8/1991,107.5
61,1991.288462,4/15/1991,106.3
62,1991.307692,4/22/1991,105.3
63,1991.326923,4/29/1991,104.2
64,1991.346154,5/6/1991,102.6
65,1991.365385,5/13/1991,101.4
66,1991.384615,5/20/1991,100.6
67,1991.403846,5/27/1991,99.5
68,1991.423077,6/3/1991,100.4
69,1991.442308,6/10/1991,101.1
70,1991.461538,6/17/1991,101.4
71,1991.480769,6/24/1991,101.2
72,1991.5,7/1/1991,101.3
73,1991.519231,7/8/1991,101
74,1991.538462,7/15/1991,101.5
75,1991.557692,7/22/1991,101.3
76,1991.576923,7/29/1991,102.6
77,1991.596154,8/5/1991,105.1
78,1991.615385,8/12/1991,105.8
79,1991.634615,8/19/1991,107.2
80,1991.653846,8/26/1991,108.9
81,1991.673077,9/2/1991,110.2
82,1991.692308,9/9/1991,111.8
83,1991.711538,9/16/1991,112
84,1991.730769,9/23/1991,112.8
85,1991.75,9/30/1991,114.3
86,1991.769231,10/7/1991,115.1
87,1991.788462,10/14/1991,115.3
88,1991.807692,10/21/1991,114.9
89,1991.826923,10/28/1991,114.7
90,1991.846154,11/4/1991,113.9
91,1991.865385,11/11/1991,113.2
92,1991.884615,11/18/1991,112.8
93,1991.903846,11/25/1991,112.6
94,1991.923077,12/2/1991,112.3
95,1991.942308,12/9/1991,111.6
96,1991.961538,12/16/1991,112.3
97,1991.980769,12/23/1991,112.1
98,1992,12/31/1991,112.1
99,1992.019231,1/7/1992,112.4
100,1992.038462,1/14/1992,112.3
101,1992.057692,1/21/1992,111.8
102,1992.076923,1/28/1992,111.5
103,1992.096154,2/4/1992,111.5
104,1992.115385,2/11/1992,111.3
105,1992.134615,2/18/1992,111.3
106,1992.153846,2/25/1992,112
107,1992.173077,3/3/1992,112
108,1992.192308,3/10/1992,111.2
109,1992.211538,3/17/1992,110.6
110,1992.230769,3/24/1992,109.8
111,1992.25,3/31/1992,108.9
112,1992.269231,4/7/1992,107.8
113,1992.288462,4/14/1992,107.4
114,1992.307692,4/21/1992,106.9
115,1992.326923,4/28/1992,106.5
116,1992.346154,5/5/1992,106.6
117,1992.365385,5/12/1992,106.1
118,1992.384615,5/19/1992,105.5
119,1992.403846,5/26/1992,105.5
120,1992.423077,6/2/1992,106.2
121,1992.442308,6/9/1992,105.3
122,1992.461538,6/16/1992,104.7
123,1992.480769,6/23/1992,104.2
124,1992.5,7/1/1992,104.8
125,1992.519231,7/8/1992,105.8
126,1992.538462,7/15/1992,105.6
127,1992.557692,7/22/1992,105.7
128,1992.576923,7/29/1992,106.8
129,1992.596154,8/5/1992,107.9
130,1992.615385,8/12/1992,107.9
131,1992.634615,8/19/1992,108.6
132,1992.653846,8/26/1992,108.6
133,1992.673077,9/2/1992,109.7
134,1992.692308,9/9/1992,110.6
135,1992.711538,9/16/1992,110.6
136,1992.730769,9/23/1992,110.7
137,1992.75,9/30/1992,110.4
138,1992.769231,10/7/1992,110.1
139,1992.788462,10/14/1992,109.5
140,1992.807692,10/21/1992,108.9
141,1992.826923,10/28/1992,108.6
142,1992.846154,11/4/1992,108.1
143,1992.865385,11/11/1992,107.5
144,1992.884615,11/18/1992,106.9
145,1992.903846,11/25/1992,106.2
146,1992.923077,12/2/1992,106
147,1992.942308,12/9/1992,105.9
148,1992.961538,12/16/1992,106.5
149,1992.980769,12/23/1992,106.2
150,1993,12/31/1992,105.5
151,1993.019231,1/7/1993,105.1
152,1993.038462,1/14/1993,104.5
153,1993.057692,1/21/1993,104.7
154,1993.076923,1/28/1993,109.2
155,1993.096154,2/4/1993,109
156,1993.115385,2/11/1993,109.3
157,1993.134615,2/18/1993,109.2
158,1993.153846,2/25/1993,108.4
159,1993.173077,3/4/1993,107.5
160,1993.192308,3/11/1993,106.4
161,1993.211538,3/18/1993,105.8
162,1993.230769,3/25/1993,105.1
163,1993.25,4/1/1993,103.6
164,1993.269231,4/8/1993,101.8
165,1993.288462,4/15/1993,100.3
166,1993.307692,4/22/1993,99.9
167,1993.326923,4/29/1993,99.2
168,1993.346154,5/6/1993,99.5
169,1993.365385,5/13/1993,100.1
170,1993.384615,5/20/1993,99.9
171,1993.403846,5/27/1993,100.5
172,1993.423077,6/3/1993,100.7
173,1993.442308,6/10/1993,101.6
174,1993.461538,6/17/1993,100.9
175,1993.480769,6/24/1993,100.4
176,1993.5,7/1/1993,100.7
177,1993.519231,7/8/1993,100.5
178,1993.538462,7/15/1993,100.7
179,1993.557692,7/22/1993,101.2
180,1993.576923,7/29/1993,101.1
181,1993.596154,8/5/1993,102.8
182,1993.615385,8/12/1993,103.3
183,1993.634615,8/19/1993,103.7
184,1993.653846,8/26/1993,104
185,1993.673077,9/2/1993,104.5
186,1993.692308,9/9/1993,104.6
187,1993.711538,9/16/1993,105
188,1993.730769,9/23/1993,105.6
189,1993.75,9/30/1993,106.5
190,1993.769231,10/7/1993,107.3
191,1993.788462,10/14/1993,107.9
192,1993.807692,10/21/1993,109.5
193,1993.826923,10/28/1993,109.7
194,1993.846154,11/4/1993,110.3
195,1993.865385,11/11/1993,110.9
196,1993.884615,11/18/1993,111.4
197,1993.903846,11/25/1993,113
198,1993.923077,12/2/1993,115.7
199,1993.942308,12/9/1993,116.1
200,1993.961538,12/16/1993,116.5
201,1993.980769,12/23/1993,116.1
202,1994,12/31/1993,115.6
203,1994.019231,1/7/1994,115
204,1994.038462,1/14/1994,114
205,1994.057692,1/21/1994,112.9
206,1994.076923,1/28/1994,112
207,1994.096154,2/4/1994,111.4
208,1994.115385,2/11/1994,110.6
209,1994.134615,2/18/1994,110.7
210,1994.153846,2/25/1994,112.1
211,1994.173077,3/4/1994,112.3
212,1994.192308,3/11/1994,112.2
213,1994.211538,3/18/1994,111.3
214,1994.230769,3/25/1994,108.2
215,1994.25,4/1/1994,107.5
216,1994.269231,4/8/1994,106.4
217,1994.288462,4/15/1994,105.6
218,1994.307692,4/22/1994,104.4
219,1994.326923,4/29/1994,106.3
220,1994.346154,5/6/1994,107
221,1994.365385,5/13/1994,106.2
222,1994.384615,5/20/1994,106.8
223,1994.403846,5/27/1994,106.8
224,1994.423077,6/3/1994,106.2
225,1994.442308,6/10/1994,105.8
226,1994.461538,6/17/1994,105.2
227,1994.480769,6/24/1994,106
228,1994.5,7/1/1994,106.3
229,1994.519231,7/8/1994,105.6
230,1994.538462,7/15/1994,105.5
231,1994.557692,7/22/1994,106.3
232,1994.576923,7/29/1994,107.7
233,1994.596154,8/5/1994,109.4
234,1994.615385,8/12/1994,111
235,1994.634615,8/19/1994,113.3
236,1994.653846,8/26/1994,114.1
237,1994.673077,9/2/1994,116.4
